[2025-12-23T08:16:11.133+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-23T08:16:11.265+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T08:14:00+00:00 [queued]>
[2025-12-23T08:16:11.277+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T08:14:00+00:00 [queued]>
[2025-12-23T08:16:11.278+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-12-23T08:16:11.301+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-12-23 08:14:00+00:00
[2025-12-23T08:16:11.325+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-12-23T08:14:00+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpb7dyjnjz']
[2025-12-23T08:16:11.331+0000] {standard_task_runner.py:91} INFO - Job 11: Subtask download_minio
[2025-12-23T08:16:11.332+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=8966) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-23T08:16:11.333+0000] {standard_task_runner.py:64} INFO - Started process 8983 to run task
[2025-12-23T08:16:11.440+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-12-23T08:14:00+00:00 [running]> on host f22d932714c9
[2025-12-23T08:16:11.633+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-12-23T08:14:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-23T08:14:00+00:00'
[2025-12-23T08:16:11.639+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-23T08:16:13.600+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471089.json -> /tmp/minio_downloads/1766471089.json
[2025-12-23T08:16:13.621+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471102.json -> /tmp/minio_downloads/1766471102.json
[2025-12-23T08:16:13.646+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471114.json -> /tmp/minio_downloads/1766471114.json
[2025-12-23T08:16:13.681+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471126.json -> /tmp/minio_downloads/1766471126.json
[2025-12-23T08:16:13.705+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471138.json -> /tmp/minio_downloads/1766471138.json
[2025-12-23T08:16:13.726+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471151.json -> /tmp/minio_downloads/1766471151.json
[2025-12-23T08:16:13.750+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471163.json -> /tmp/minio_downloads/1766471163.json
[2025-12-23T08:16:13.772+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471175.json -> /tmp/minio_downloads/1766471175.json
[2025-12-23T08:16:13.793+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471187.json -> /tmp/minio_downloads/1766471187.json
[2025-12-23T08:16:13.807+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471199.json -> /tmp/minio_downloads/1766471199.json
[2025-12-23T08:16:13.823+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471211.json -> /tmp/minio_downloads/1766471211.json
[2025-12-23T08:16:13.845+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471224.json -> /tmp/minio_downloads/1766471224.json
[2025-12-23T08:16:13.866+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471236.json -> /tmp/minio_downloads/1766471236.json
[2025-12-23T08:16:13.891+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471249.json -> /tmp/minio_downloads/1766471249.json
[2025-12-23T08:16:13.914+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471262.json -> /tmp/minio_downloads/1766471262.json
[2025-12-23T08:16:13.939+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471274.json -> /tmp/minio_downloads/1766471274.json
[2025-12-23T08:16:13.960+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471287.json -> /tmp/minio_downloads/1766471287.json
[2025-12-23T08:16:14.027+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471299.json -> /tmp/minio_downloads/1766471299.json
[2025-12-23T08:16:14.051+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471312.json -> /tmp/minio_downloads/1766471312.json
[2025-12-23T08:16:14.079+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471325.json -> /tmp/minio_downloads/1766471325.json
[2025-12-23T08:16:14.104+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471337.json -> /tmp/minio_downloads/1766471337.json
[2025-12-23T08:16:14.127+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471350.json -> /tmp/minio_downloads/1766471350.json
[2025-12-23T08:16:14.144+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471363.json -> /tmp/minio_downloads/1766471363.json
[2025-12-23T08:16:14.162+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471376.json -> /tmp/minio_downloads/1766471376.json
[2025-12-23T08:16:14.178+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471389.json -> /tmp/minio_downloads/1766471389.json
[2025-12-23T08:16:14.196+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471401.json -> /tmp/minio_downloads/1766471401.json
[2025-12-23T08:16:14.210+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471414.json -> /tmp/minio_downloads/1766471414.json
[2025-12-23T08:16:14.225+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471427.json -> /tmp/minio_downloads/1766471427.json
[2025-12-23T08:16:14.237+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471439.json -> /tmp/minio_downloads/1766471439.json
[2025-12-23T08:16:14.251+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471452.json -> /tmp/minio_downloads/1766471452.json
[2025-12-23T08:16:14.271+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471465.json -> /tmp/minio_downloads/1766471465.json
[2025-12-23T08:16:14.293+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471477.json -> /tmp/minio_downloads/1766471477.json
[2025-12-23T08:16:14.311+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471489.json -> /tmp/minio_downloads/1766471489.json
[2025-12-23T08:16:14.330+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471502.json -> /tmp/minio_downloads/1766471502.json
[2025-12-23T08:16:14.347+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471515.json -> /tmp/minio_downloads/1766471515.json
[2025-12-23T08:16:14.365+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471528.json -> /tmp/minio_downloads/1766471528.json
[2025-12-23T08:16:14.391+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471540.json -> /tmp/minio_downloads/1766471540.json
[2025-12-23T08:16:14.407+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471554.json -> /tmp/minio_downloads/1766471554.json
[2025-12-23T08:16:14.424+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471567.json -> /tmp/minio_downloads/1766471567.json
[2025-12-23T08:16:14.441+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471579.json -> /tmp/minio_downloads/1766471579.json
[2025-12-23T08:16:14.456+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471591.json -> /tmp/minio_downloads/1766471591.json
[2025-12-23T08:16:14.472+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471604.json -> /tmp/minio_downloads/1766471604.json
[2025-12-23T08:16:14.493+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471616.json -> /tmp/minio_downloads/1766471616.json
[2025-12-23T08:16:14.509+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471682.json -> /tmp/minio_downloads/1766471682.json
[2025-12-23T08:16:14.526+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471695.json -> /tmp/minio_downloads/1766471695.json
[2025-12-23T08:16:14.547+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471708.json -> /tmp/minio_downloads/1766471708.json
[2025-12-23T08:16:14.566+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471720.json -> /tmp/minio_downloads/1766471720.json
[2025-12-23T08:16:14.582+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471732.json -> /tmp/minio_downloads/1766471732.json
[2025-12-23T08:16:14.600+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471744.json -> /tmp/minio_downloads/1766471744.json
[2025-12-23T08:16:14.616+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471757.json -> /tmp/minio_downloads/1766471757.json
[2025-12-23T08:16:14.635+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471770.json -> /tmp/minio_downloads/1766471770.json
[2025-12-23T08:16:14.656+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471782.json -> /tmp/minio_downloads/1766471782.json
[2025-12-23T08:16:14.683+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471795.json -> /tmp/minio_downloads/1766471795.json
[2025-12-23T08:16:14.705+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471807.json -> /tmp/minio_downloads/1766471807.json
[2025-12-23T08:16:14.722+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471820.json -> /tmp/minio_downloads/1766471820.json
[2025-12-23T08:16:14.747+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471832.json -> /tmp/minio_downloads/1766471832.json
[2025-12-23T08:16:14.786+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1766471845.json -> /tmp/minio_downloads/1766471845.json
